Kogo,Gendaigo
あいなう(あいなく),むやみに
あいなし,無意味だ つまらない
あいなだのみ,あてにならない期待
あかず,物足りない いつまでも飽きることがない
あからさまなり,ちょっとの間だ
あきらむ,晴れやかにする 明らかにする
あきれたり,あっけにとられる
あく,満ちたりる 十分すぎていやになる
あくがる,さまよい出る (心)がうわの空になる
あさまし,意外だ 情けない 見苦しい
あさむ,おどろく
あそばす,演奏をなさる
あそぶ,管弦を楽しむ
あたらし,もったいない 惜しい
あだあだし,浮気だ
あだなり,はかない 無駄だ 浮気だ
あぢきなし,つまらない どうしようもない
あつし(篤し),病状が重い
あてなり,身分が高く優美だ
あない,内情
あなかしこ,ああおそれ多い
あなかしこ~(禁止),決して~するな
あなかま,し、静かに
あながちなり,無理やりだ むやみだ 一途だ
あながちに~(打消),必ずしも~ない
あはれなり,しみじみと趣深い
あふ,結婚する
あへなし,あっけない
あまた,たくさん
あやし,不思議だ
あやし(怪し),不思議だ 疑わしい
あやし(賤し),身分が低い みずぼらしい
あやにくなり,ひどい 都合が悪い
あらはなり,まる見えだ
あらまし,計画
あらまほし,理想的な あってほしい
ありがたし,めったにない 立派だ 難しい
ありく,歩き回る
ありし・ありつる,かつての さっきの
あるじす,客にごちそうする
あるやうこそあらめ,何かわけがあるのだろう
あれかにもあらず,我を失い、呆然としている
いうなり,優れている 優美だ
いうもおろかなり,言うまでもない
いかが(は)せむ,どうしようか(疑問) どうしようもない(反語)
いかでか~なむ(ばや),なんとかして~したい
いかでか~べし(む),どうして~だろうか。いや、~ない。
いかで(か) ~ばや(てしがな),どうにかして~してほしい(したい)
いかで(か) ~む(べし),どうして~だろうか いや〜だろう。
いかにぞや,あまり感心しない,
いかにもあれ,どのようであっても
いさ~知らず,さあ~知らない
いざたまへ,さあ、いらっしゃい
いそぎ,準備
いたう,とても
いたく~ず,それほど~ない
いたし,すばらしい
いたつく,苦労する 病気になる
いたづらなり,無駄だ むなしい 退屈だ
いたはる,病気で苦しむ 世話をする
いたはる (労る),病気になる 骨を折る
いつしか,いつの間にか 早く
いと~ず,それほど~ない
いとしもなし,たいしたことはない
いとど,いっそう
いとどし,いっそう激しい
いとほし,かわいそうだ かわいい
いぬ,行く
いはけなし,幼い
いふかひなし,どうしようもない
いふべきにもあらず,言うまでもない
いふもおろかなり,言うまでもない
いぶかし,気が晴れない
いぶせし,気が晴れない
いへばさらなり,言うまでもない
いまめかし,現代風だ
いまやうなり,当世風だ
いみじ,とても素晴らしい とても悲しい
いみじう,とても
いみじげなり,並々でない様子だ
いやし,地位や身分が低い
いらふ,答える
いろ,情趣 恋愛
うけたまわる,お受けする
うし,つらい 薄情だ
うしろめたし,心配だ 気がかりだ
うしろめたなし,気がかりだ
うしろやすし,安心だ
うたて,いやなことに 情けなく 気味悪く
うたてし,情けない
うたてなり,情けない
うち,宮中 天皇
うちいづ,口に出して言う
うちつけなり,突然だ 軽々しい
うつくし,かわいい 立派だ
うつくしがる,かわいがる
うつくしむ,かわいがる
うつつ,現実 正気
うつつなし,正気を失っている
うつろふ,移動する 色あせる 心変わりする
うへ,天皇 奥様
うべなふ,同意する
うべなり,もっともだ
うるはし,整っている 正式だ
うれふ,嘆き訴える
え~ず,~できない
えならず,なんとも言えないほど すばらしい
えもいはず,なんとも言えないほど~だ
えんなり,あでやかで美しい
おいらかなり,おっとりしている
おきつ,あらかじめ決める
おくゆかし,見たい 心ひかれる
おくる(遅る),先立たれる
おこす,よこす
おこたる,病気がよくなる
おこなふ,仏道修行をする
おとなう,音を立てる
おとなし,大人らしい 思慮分別がある
おとにきく,うわさに聞く 評判が高い
おどろおどろし,大げさだ 不気味だ
おどろかす,はっと気づかせる
おどろく,はっと気づく 目覚める
おのづから,偶然に 万一
おはす おはします,いらっしゃる
おほかた~ず(ない),まったく~ない
おほけなし,身の程知らずだ
おほす,おっしゃる
おほとのごもる,おやすみになる
おほやけ,朝廷 天皇
おぼえ,評判 寵愛を受けること
おぼしおきつ,心づもりなさる
おぼす おぼしめす,お思いになる
おぼつかながる,不安がる
おぼつかなし,ぼんやりしている 気がかりだ 待ち遠しい
おぼゆ,思われる
おぼろけならず,並々でない 格別だ
おぼろげならず,並々でない
おぼろげなり,並一通りだ 並々ではない
おもしろし,すばらしい 趣深い
おもなし,面目ない
おもはずなり,思いがけない
おもひおきつ,心づもりする
おもひまうく,心づもりする
おもひやる,憂いを晴らす 思いをはせる
およすぐ,成長する 大人びる
おろかならず,いい加減でない 並々ではない
おろかなり,おろそかだ いい加減だ
かきくらす,悲しみにくれる
かきくる,悲しみにくれる
かぎり,最期
かく,このように
かげ,光
かこつ,~のせいにする 不平を言う
かごとがまし,言い訳がましい
かごとばかり,ほんの形ばかり
かしこし,恐ろしい 恐れ多い 優れている はなはだしい
かしこまり,お礼 お詫び 謹慎
かしこまる,恐れ敬う
かしづく,大切に養育する 大切に世話をする
かずならず,取るに足りない
かたくななり,情趣を解さない 見苦しい
かたし,むずかしい
かたじけなし,,おそれ多い ありがたい
かたち,容貌
かたはらいたし,見苦しい 気の毒だ 恥ずかしい
かたみに,互いに
かたらふ,男女が関係をもつ 親しくする
かちより,歩いて
